CHROM	POS	PLAF
Pf3D7_14_v3	35792	0
Pf3D7_14_v3	35796	0.518241288212321
Pf3D7_14_v3	35799	0.006341789052069
Pf3D7_14_v3	35805	0
Pf3D7_14_v3	35821	0.0147458548518609
Pf3D7_14_v3	35827	0.109464627151044
Pf3D7_14_v3	35842	0.0359502664298376
Pf3D7_14_v3	35847	0
Pf3D7_14_v3	35864	0.022480867346937
Pf3D7_14_v3	35865	0.000534106516099456
Pf3D7_14_v3	35867	0
Pf3D7_14_v3	35879	0
Pf3D7_14_v3	35915	0
Pf3D7_14_v3	35918	0
Pf3D7_14_v3	35923	0
Pf3D7_14_v3	35929	0.000289184499710795
Pf3D7_14_v3	35933	0
Pf3D7_14_v3	35946	0
Pf3D7_14_v3	35949	0
Pf3D7_14_v3	35988	0
Pf3D7_14_v3	35990	0
Pf3D7_14_v3	35996	0
Pf3D7_14_v3	35999	0
Pf3D7_14_v3	36006	0
Pf3D7_14_v3	36010	0
Pf3D7_14_v3	36026	0
Pf3D7_14_v3	36036	0
Pf3D7_14_v3	36056	0
Pf3D7_14_v3	36059	0
Pf3D7_14_v3	36074	0
Pf3D7_14_v3	36083	0
Pf3D7_14_v3	36093	0
Pf3D7_14_v3	36103	0
Pf3D7_14_v3	36105	0
Pf3D7_14_v3	36110	0
Pf3D7_14_v3	36111	0
Pf3D7_14_v3	36124	0.149921799359488
Pf3D7_14_v3	36135	0
Pf3D7_14_v3	36136	0
Pf3D7_14_v3	36161	0
Pf3D7_14_v3	36188	0
Pf3D7_14_v3	36190	0
Pf3D7_14_v3	36199	0
Pf3D7_14_v3	36200	0
Pf3D7_14_v3	36202	0
Pf3D7_14_v3	36204	0
Pf3D7_14_v3	36216	0
Pf3D7_14_v3	36223	0
Pf3D7_14_v3	36231	0
Pf3D7_14_v3	36236	0.592652001222075
Pf3D7_14_v3	36244	0
Pf3D7_14_v3	36252	0
Pf3D7_14_v3	36261	0
Pf3D7_14_v3	36265	0
Pf3D7_14_v3	36271	0
Pf3D7_14_v3	36275	0.478590056364055
Pf3D7_14_v3	36281	0.000461510060919285
Pf3D7_14_v3	36322	0
Pf3D7_14_v3	36330	0
Pf3D7_14_v3	36340	0
Pf3D7_14_v3	36426	0
Pf3D7_14_v3	36466	0
Pf3D7_14_v3	36478	0
Pf3D7_14_v3	36533	0.32871524891472
Pf3D7_14_v3	36543	0
Pf3D7_14_v3	36549	0
Pf3D7_14_v3	36559	0
Pf3D7_14_v3	36568	0
Pf3D7_14_v3	36572	0
Pf3D7_14_v3	36588	0
Pf3D7_14_v3	36613	0
Pf3D7_14_v3	36617	0.237259742549794
Pf3D7_14_v3	36626	0
Pf3D7_14_v3	36652	0
Pf3D7_14_v3	36663	0
Pf3D7_14_v3	36676	0
Pf3D7_14_v3	36680	0.00954673750622534
Pf3D7_14_v3	36682	0.389595838335303
Pf3D7_14_v3	36699	0
Pf3D7_14_v3	36711	0
Pf3D7_14_v3	36718	0
Pf3D7_14_v3	36720	0
Pf3D7_14_v3	36723	0.0416241062308443
Pf3D7_14_v3	36738	0
Pf3D7_14_v3	36748	0.0107270560190694
Pf3D7_14_v3	36775	0.258826539314322
Pf3D7_14_v3	36794	0
Pf3D7_14_v3	36811	0
Pf3D7_14_v3	36812	0.207673135125493
Pf3D7_14_v3	36834	0
Pf3D7_14_v3	36858	0
Pf3D7_14_v3	36866	0.0108010091453792
Pf3D7_14_v3	36885	0
Pf3D7_14_v3	36893	0
Pf3D7_14_v3	36942	0
Pf3D7_14_v3	36944	0
Pf3D7_14_v3	36950	0
Pf3D7_14_v3	36959	0
Pf3D7_14_v3	36962	0
Pf3D7_14_v3	36963	0
Pf3D7_14_v3	36964	0
Pf3D7_14_v3	36965	0
Pf3D7_14_v3	36971	0
Pf3D7_14_v3	36989	0
Pf3D7_14_v3	36991	0
Pf3D7_14_v3	37006	0
Pf3D7_14_v3	37014	0
Pf3D7_14_v3	37029	0
Pf3D7_14_v3	37043	0
Pf3D7_14_v3	37048	0
Pf3D7_14_v3	37052	0
Pf3D7_14_v3	37054	0
Pf3D7_14_v3	37055	0.999033291039756
Pf3D7_14_v3	37059	0
Pf3D7_14_v3	37069	0
Pf3D7_14_v3	37072	0.273942093541185
Pf3D7_14_v3	37083	6.34517766497422e-05
Pf3D7_14_v3	37084	0
Pf3D7_14_v3	37092	0
Pf3D7_14_v3	37106	0
Pf3D7_14_v3	37109	0.121910006884028
Pf3D7_14_v3	37119	0
Pf3D7_14_v3	37124	0
Pf3D7_14_v3	37139	0
Pf3D7_14_v3	37149	0
Pf3D7_14_v3	37152	0
Pf3D7_14_v3	37155	0.260433386837864
Pf3D7_14_v3	37172	0
Pf3D7_14_v3	37176	0
Pf3D7_14_v3	37187	0
Pf3D7_14_v3	37260	0
Pf3D7_14_v3	37290	0.623505539102741
Pf3D7_14_v3	37293	0
Pf3D7_14_v3	37314	0
Pf3D7_14_v3	37332	0
Pf3D7_14_v3	37343	0
Pf3D7_14_v3	37350	0
Pf3D7_14_v3	37354	0
Pf3D7_14_v3	37355	0
Pf3D7_14_v3	37357	0
Pf3D7_14_v3	37362	0
Pf3D7_14_v3	37367	0
Pf3D7_14_v3	37368	0
Pf3D7_14_v3	37371	0
Pf3D7_14_v3	37372	0
Pf3D7_14_v3	37373	0
Pf3D7_14_v3	37392	0
Pf3D7_14_v3	37395	0.0547691166470882
Pf3D7_14_v3	37399	0
Pf3D7_14_v3	37400	0
Pf3D7_14_v3	37406	0
Pf3D7_14_v3	37416	0
Pf3D7_14_v3	37420	0
Pf3D7_14_v3	37421	0
Pf3D7_14_v3	37423	0.00272024729520849
Pf3D7_14_v3	37424	0
Pf3D7_14_v3	37431	0
Pf3D7_14_v3	37434	0
Pf3D7_14_v3	37438	0
Pf3D7_14_v3	37450	0
Pf3D7_14_v3	37456	0.00366069174450873
Pf3D7_14_v3	37461	0
Pf3D7_14_v3	37462	0.00607479592482402
Pf3D7_14_v3	37465	0
Pf3D7_14_v3	37471	0
Pf3D7_14_v3	37483	0
Pf3D7_14_v3	37487	0
Pf3D7_14_v3	37492	0
Pf3D7_14_v3	37499	0
Pf3D7_14_v3	37539	0
Pf3D7_14_v3	37540	0
Pf3D7_14_v3	37542	0
Pf3D7_14_v3	37546	0
Pf3D7_14_v3	37548	0
Pf3D7_14_v3	37554	0
Pf3D7_14_v3	37567	0
Pf3D7_14_v3	37568	0.034176568289253
Pf3D7_14_v3	37571	0.0343642611683827
Pf3D7_14_v3	37576	0.279477864663489
Pf3D7_14_v3	37579	0
Pf3D7_14_v3	37595	0
Pf3D7_14_v3	37599	0
Pf3D7_14_v3	37601	0
Pf3D7_14_v3	37616	0
Pf3D7_14_v3	37673	0
Pf3D7_14_v3	37688	0
